id_number,name,host_since,host_response_rate,host_acceptance_rate,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,host_response_rate_nan,host_acceptance_rate_nan,Capitol Hill,Columbia Heights,Dupont Circle,Logan Circle,U Street Corridor,Adams Morgan,Near Northeast/H Street Corridor,Shaw,city_one_hot,state_one_hot,property_type_house,property_type_other,Private room,Shared room,bed_type_not_real_bed,instant_bookable_not_f,moderate,strict,super_strict_30,email,facebook,google,jumio,kba,linkedin,manual_offline,manual_online,phone,reviews,sent_id,Washer_amenities,Dryer_amenities,SmokeDetector_amenities,Internet_amenities,Essentials_amenities,TV_amenities,Shampoo_amenities,CableTV_amenities,FireExtinguisher_amenities,Family/KidFriendly_amenities,CarbonMonoxideDetector_amenities,FirstAidKit_amenities,FreeParkingonPremises_amenities,ElevatorinBuilding_amenities,other_rare_amenities_amenities,price_log
0,Guest Quarters on Capitol Hill,0.013475641963333397,0.5335548967846225,-0.5347834538873872,0.39309439198239454,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,195.0,-0.8166987378582321,0.2802803491293055,0.18969780656291685,-0.01832411649938739,-0.44130224551947106,-0.4367694233415059,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,-1.5730040814673716,6.108173533922828,-0.9260429711795066,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.272999558563747
1,Private oasis. Top floor w/ 2 decks,0.9706599374146427,0.5952693926966371,0.7485051726869626,-0.5918481469306653,0.41872324925717186,-0.2506879948032519,-0.5430874756230608,150.0,0.28043318172963927,0.2802803491293055,-0.06591913940044118,-0.01829765720493445,-0.44130224551947106,-0.4367694233415059,-0.7002266991249751,-0.3008131434104074,0.4191537548024249,-1.221810384247748,0.6774137512987364,-0.3891493148089094,-0.3563195095221102,-0.7949090184898954,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,5.0106352940962555
2,People's Place -Convention Center,2.3399886131569376,0.5026976488286152,0.7485051726869626,1.3780369308954543,-0.4295106956787127,0.9355328007957316,1.1193913106114461,140.0,0.828999141523575,1.7618324402285992,0.44531475252627484,-0.01832411649938739,1.2503985640915676,-1.3281693445117901,-1.981291722821502,-1.2344270178443206,-1.056523433860767,-1.221810384247748,-0.42955606593324097,-0.3891493148089094,-0.03309485734986331,-0.4072086366249579,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,4.941642422609304
3,M St Apt C,0.20356672348529817,0.34841140904857887,0.7485051726869626,-0.09937687747413539,-0.4295106956787127,-1.4369087904022355,0.2881519174941927,110.0,-0.04870639414672212,-1.201271741969988,-0.06591913940044118,-0.01829765720493445,0.5538158777811399,-1.200826498630321,-0.7002266991249751,-1.2344270178443206,-2.532200622523959,-2.8478393048402855,-0.42955606593324097,-0.3891493148089094,0.12851746873626016,1.4457711296412872,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,4.700480365792417
4,Columbia Heights Rm w/Private Bath,0.6880466480722527,0.5952693926966371,0.0801256796794887,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,119.0,0.28043318172963927,-1.201271741969988,0.44531475252627484,-0.018326059404100842,-0.40813164140945074,-0.4367694233415059,-0.7002266991249751,-0.3008131434104074,0.4191537548024249,0.4042185363447895,-1.5365258831652184,-0.3891493148089094,-0.03309485734986331,-0.9773562570145717,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,4.77912349311153
5,English Basement & Bath,0.7099155335570805,0.5952693926966371,0.7485051726869626,-1.0843194163871952,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,49.0,-0.04870639414672212,-0.46049569642034127,-0.3215360853637992,-0.01829765720493445,-0.47447284962949143,0.8366590354731858,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,0.7947054518495527,0.2901297948223836,-0.45852192246002316,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3.8918202981106265
6,Downtown/Capital Hill Entire Home!!,-1.1842663938210818,0.5952693926966371,0.481153375483973,1.8705082003519842,0.41872324925717186,2.1217535963947154,2.7818700968459535,195.0,1.1581387173999365,1.7618324402285992,-0.06591913940044118,-0.018325701500600994,-0.47447284962949143,0.8366590354731858,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,0.7947054518495527,-0.3563195095221102,-0.45852192246002316,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0,0,0.0,1.0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,5.272999558563747
7,Neat bedroom in Stadium Armory,-0.10764433918340523,-2.4904554029040913,-1.925012799342933,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,110.0,-0.3778459700230835,-0.46049569642034127,-0.3215360853637992,-0.018326340613993578,-0.5076434537395118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3563195095221102,0.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,4.700480365792417
8,Modern 1B by Columbia Heights Metro,-0.7502531280452684,0.5952693926966371,0.7485051726869626,0.39309439198239454,-0.4295106956787127,2.1217535963947154,0.2881519174941927,149.0,-0.15841958610550927,-0.46049569642034127,-0.3215360853637992,-0.01829765720493445,0.5869864818911603,-0.6914551151044442,-0.7002266991249751,-1.2344270178443206,-1.056523433860767,-1.221810384247748,-0.42955606593324097,-0.3891493148089094,-0.3563195095221102,1.1606973194464802,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,5.003946305945459
9,Modern 1 Bedroom on U Street,-0.6543664763041004,0.5952693926966371,0.4276830160433751,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,119.0,-0.2681327780642964,-0.46049569642034127,-0.06591913940044118,-0.01829765720493445,-0.37496103729943037,0.8366590354731858,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,0.7947054518495527,-0.3563195095221102,-0.8405208281210644,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,4.77912349311153
10,Vibrant U St Rowhome Just Off Metro,-0.634179812779644,0.5952693926966371,0.5880940943651688,0.8855656614389245,2.115191139128941,0.9355328007957316,0.2881519174941927,229.0,-0.8166987378582321,1.7618324402285992,-0.06591913940044118,-0.01832621279131506,-0.37496103729943037,0.8366590354731858,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,0.7947054518495527,-0.03309485734986331,0.04320798348283697,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,5.43372200355424
11,"650sqft 2nd floor Apt, 1 Bed 1 Bath",-0.3515665234372538,0.5952693926966371,0.7485051726869626,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,95.0,-0.8166987378582321,-1.201271741969988,-0.06591913940044118,-0.01829765720493445,-0.14276680852928778,-0.5641122692229751,0.5808383245715515,-1.2344270178443206,-1.056523433860767,0.4042185363447895,-0.42955606593324097,-0.3891493148089094,-0.3563195095221102,-0.06512006439118964,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,4.553876891600541
12,Large Private Room Columbia Height,-1.2700597138000216,0.5952693926966371,0.7485051726869626,-1.0843194163871952,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,90.0,-0.48755916198187066,-0.46049569642034127,-0.3215360853637992,-0.01829765720493445,-0.47447284962949143,0.8366590354731858,0.5808383245715515,-1.2344270178443206,0.4191537548024249,0.4042185363447895,0.6774137512987364,0.7947054518495527,-0.3563195095221102,-0.45852192246002316,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,4.499809670330265
13,2 LEVELS to your self/Lrg Backyard!,-0.7889442331338099,0.5952693926966371,0.7485051726869626,2.362979469808514,-0.4295106956787127,2.1217535963947154,1.9506307037286998,125.0,1.8164178691526593,1.7618324402285992,-0.06591913940044118,-0.01829765720493445,0.08942742024085479,0.5819733437102474,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,-0.42955606593324097,0.7947054518495527,-0.3563195095221102,1.1264884622231033,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,4.8283137373023015
14,1 BD apartment in Georgetown,-0.6997864692341274,0.5952693926966371,0.7485051726869626,-0.09937687747413539,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,155.0,0.828999141523575,0.2802803491293055,0.18969780656291685,-0.018317086252068977,0.38796285723103807,0.07260196018437075,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,-0.3891493148089094,-0.3563195095221102,0.35678917469712473,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,5.043425116919247
15,Bright Bedroom w/ Private Bath,0.018522307844447507,0.28669691313656426,0.7485051726869626,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,85.0,-0.48755916198187066,0.2802803491293055,-0.3215360853637992,-0.01829765720493445,0.25528044079095663,-0.4367694233415059,-0.7002266991249751,-1.2344270178443206,-1.056523433860767,-1.221810384247748,-0.42955606593324097,-0.3891493148089094,-0.3563195095221102,-0.4642233986639193,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,4.442651256490317
16,"Charming 1BR, 5 min walk to metro",-0.8545508895882934,0.5952693926966371,0.7485051726869626,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,89.0,-0.8166987378582321,-0.46049569642034127,-0.3215360853637992,-0.01829765720493445,-0.5076434537395118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3563195095221102,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,4.48863636973214
17,Guest bedroom and private bath.,2.432510820977363,0.5952693926966371,0.7485051726869626,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,65.0,-0.2681327780642964,-0.46049569642034127,0.18969780656291685,-0.018300852771897365,0.18893923257091588,0.3272876519473091,-0.7002266991249751,-0.3008131434104074,0.4191537548024249,0.4042185363447895,-0.42955606593324097,0.7947054518495527,-0.3563195095221102,-0.777804589878207,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,4.174387269895637
18,Ideal Flat in Dupont / Adams Morgan,0.6779533163100244,0.5952693926966371,-1.925012799342933,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,99.0,-0.8166987378582321,-0.46049569642034127,-0.06591913940044118,-0.01829765720493445,-0.3086198290793896,0.4546304978287783,0.5808383245715515,-0.3008131434104074,0.4191537548024249,0.4042185363447895,0.6774137512987364,-0.3891493148089094,-0.3563195095221102,-0.697983923023661,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,4.59511985013459
19,lovely 1BR Capitol Hill/H St Apt,0.47104001518434596,0.5952693926966371,0.7485051726869626,0.39309439198239454,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,125.0,-0.3778459700230835,0.2802803491293055,-0.06591913940044118,-0.01832567593606529,2.3118578956122193,-1.200826498630321,-0.7002266991249751,-0.3008131434104074,-1.056523433860767,-1.221810384247748,-0.42955606593324097,-0.3891493148089094,-0.3563195095221102,0.43660984155167054,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,4.8283137373023015
20,Sunny 1.5 BD Garden Apartment,-0.7485709060848971,0.28669691313656426,-0.5882538133279851,-0.09937687747413539,-0.4295106956787127,0.9355328007957316,0.2881519174941927,125.0,-0.8166987378582321,-0.46049569642034127,-0.3215360853637992,-0.018324857870922785,0.288451044900977,-0.9461408068673827,-0.7002266991249751,-0.3008131434104074,-1.056523433860767,0.4042185363447895,-1.5365258831652184,-0.3891493148089094,-0.3563195095221102,0.25416260302699417,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,4.8283137373023015
21,Embassies district 1br near metro,-0.4121265140106231,0.5026976488286152,0.7485051726869626,-0.09937687747413539,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,91.0,0.3901463736884264,0.2802803491293055,0.44531475252627484,-0.01829765720493445,-0.5076434537395118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6133544469946306,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,4.51085950651685
22,"Safe, snug, and cozy in Georgetown",0.10936229370450147,0.5952693926966371,0.7485051726869626,-1.0843194163871952,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,125.0,-0.8166987378582321,-0.46049569642034127,-0.06591913940044118,-0.01832628948492217,-0.34179043318941,-0.6914551151044442,0.5808383245715515,-1.2344270178443206,0.4191537548024249,0.4042185363447895,0.6774137512987364,-0.3891493148089094,-0.3563195095221102,-0.7892075422859993,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,4.8283137373023015
23,Riverside Casa,-1.1186597373665985,0.5952693926966371,0.0801256796794887,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,150.0,-0.8166987378582321,-0.46049569642034127,-0.3215360853637992,-0.01829765720493445,-0.44130224551947106,0.8366590354731858,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,0.7947054518495527,-0.3563195095221102,0.11162569792959069,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,5.0106352940962555
24,Brookland Apartment 2,-0.9420264315276046,0.34841140904857887,0.7217699929666636,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,89.0,-0.8166987378582321,-0.46049569642034127,-0.3215360853637992,-0.01829765720493445,-0.47447284962949143,0.8366590354731858,-1.981291722821502,0.6328007310235059,0.4191537548024249,0.4042185363447895,-3.750465517629173,-1.5730040814673716,3.199151664372606,-0.903237066363922,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,4.48863636973214
25,Capitol Hill Sweet Suite,0.42057335637320487,0.5952693926966371,0.5346237349245709,0.39309439198239454,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,145.0,2.1455574450290205,1.7618324402285992,-0.06591913940044118,-0.018325650371529587,4.202582329883381,0.7093161895917166,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,0.7947054518495527,-0.3563195095221102,1.3887563676023258,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4.976733742420574
